eurogrid_0250;;populacja_razem;populacja_lokale;populacja_k_razem;populacja_m_razem;populacja_00_04;populacja_05_09;populacja_10_14;populacja_15_19;populacja_20_24;populacja_25_29;populacja_30_34;populacja_35_39;populacja_40_44;populacja_45_49;populacja_50_54;populacja_55_59;populacja_60_64;populacja_65_69;populacja_70_74;populacja_75_99;msw_2012_lokale;msw_2013_lokale;msw_2014_lokale;msw_2015_lokale;msw_2016_lokale;msw_2012_popul_razem;msw_2013_popul_razem;msw_2014_popul_razem;msw_2015_popul_razem;msw_2016_popul_razem;budynki_all;budynki_mieszkalne;geometria92
1kmN3259E4795_11;1kmN3259E4795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((361186.5559497896 488244.90811105445, 360938.4135490814 488275.7590540759, 360969.3352160492 488523.55318289436, 361217.47751248244 488492.70185665414, 361186.5559497896 488244.90811105445)))
1kmN3259E4796_11;1kmN3259E4796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((362179.1254055962 488121.50552053377, 361930.9830627673 488152.35599114187, 361961.90431313735 488400.1485887207, 362210.0465520228 488369.29773598164, 362179.1254055962 488121.50552053377)))
1kmN3259E4797_11;1kmN3259E4797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((363171.6946485 487998.1048154123, 362923.55235610425 488028.95481531136, 362954.4731911862 488276.7458860297, 363202.6153799639 488245.89550511073, 363171.6946485 487998.1048154123)))
1kmN3259E4798_11;1kmN3259E4798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((364164.2637082313 487874.7059889473, 363916.1214588426 487905.55551981553, 363947.04187994974 488153.34506808687, 364195.1840260448 488122.4951572893, 364164.2637082313 487874.7059889473)))
1kmN3259E4799_11;1kmN3259E4799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((365156.83261453744 487751.30903440155, 364908.69040071906 487782.15809792373, 364939.6104091612 488029.94612811506, 365187.75252001546 487999.0966857653, 365156.83261453744 487751.30903440155)))
1kmN3259E4800_44;1kmN3259E4800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((365404.97482062737 487720.4600874642, 365156.83261453744 487751.30903440155, 365187.75252001546 487999.0966857653, 365435.8946232259 487968.24736026675, 365404.97482062737 487720.4600874642)))
1kmN3260E4780_11;1kmN3260E4780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((346421.6847334665 491087.4461448258, 346173.54100967234 491118.30597485974, 346204.4721085117 491366.1232248526, 346452.6157227705 491335.2629953716, 346421.6847334665 491087.4461448258)))
1kmN3260E4781_11;1kmN3260E4781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((347414.2592060895 490964.0080805151, 347166.11565038597 490994.86740842555, 347197.0463115713 491242.68306227867, 347445.1897580655 491211.82333600894, 347414.2592060895 490964.0080805151)))
1kmN3260E4782_11;1kmN3260E4782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((348406.8330249307 490840.57202043664, 348158.6896298853 490871.43084793165, 348189.61985472287 491119.2449100232, 348437.76314088894 491088.38568527903, 348406.8330249307 490840.57202043664)))
1kmN3260E4783_11;1kmN3260E4783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((349399.40621972637 490717.1379578719, 349151.26297790674 490747.99628661666, 349182.192767715 490995.8087613294, 349430.3359009854 490964.9500364298, 349399.40621972637 490717.1379578719)))
