miasto;Ulica;Nr domu;Kod poczt.;miasto;Publicznoœæ;Uczniowie;odzialy;pelnozatrudnieni;stos. Pracy;w etatach;suma etatów
Poznañ;Os. Boh. II Wojny Œwiatowej;1;61-388;Poznañ;001;121;5.00;14;3;0.31;14.31
Poznañ;os. Boles³awa Chrobrego;104;60-681;Poznañ;001;125;5.00;9;7;2.46;11.46
Poznañ;Libelta;35;61-707;Poznañ;001;30;5.00;19;0;0.00;19.00
Poznañ;Swoboda;57;60-391;Poznañ;001;100;4.00;8;6;0.44;8.44
Poznañ;os. Rzeczypospolitej;43;61-395;Poznañ;001;96;5.00;16;4;0.88;16.88
Poznañ;Nadolnik;9a;61-012;Poznañ;001;75;3.00;6;1;0.13;6.13
Poznañ;Fabianowo;29;60-005;Poznañ;001;111;5.00;5;8;1.87;6.87
Poznañ;Sierakowska;23;60-367;Poznañ;001;123;5.00;11;6;1.68;12.68
Poznañ;Chojnicka;72;60-480;Poznañ;001;125;5.00;5;0;0.00;5.00
Poznañ;S³owackiego;58/60;60-521;Poznañ;001;125;5.00;2;9;6.13;8.13
Poznañ;Lecha;43;61-294;Poznañ;001;39;3.00;5;2;0.30;5.30
Poznañ;Bukowska;47a;60-555;POZNAÑ;001;118;5.00;9;2;1.50;10.50
Poznañ;Druskienicka;32;60-476;Poznañ;001;93;4.00;0;6;4.33;4.33
Poznañ;Os. W³. £okietka;4h;61-616;Poznañ;001;29;2.00;3;1;0.07;3.07
Poznañ;Os. £okietka;3D;61-616;Poznañ;001;32;2.00;3;1;0.07;3.07
Poznañ;Za Cytadel¹;120;61-659;Poznañ;001;150;6.00;6;0;0.00;6.00
Poznañ;£agodna;4;60-680;Poznañ;001;49;2.00;3;0;0.00;3.00
Poznañ;STARO£ÊCKA;42;61-341;POZNAÑ;001;75;3.00;4;2;1.50;5.50
Poznañ;Naramowicka;244;61-611;polska;001;30;2.00;0;1;0.25;0.25
Poznañ;Bogusza;8a;61-608;Poznañ;004;39;2.00;5;0;0.00;5.00
Poznañ;Drewlañska;10;61-614;Poznan;004;26;2.00;2;0;0.00;2.00
Poznañ;Madziarska;1;61-615;Poznan;004;17;1.00;1;0;0.00;1.00
Poznañ;Kolejowa;29a;60-718;Poznañ;004;27;3.00;3;1;0.50;3.50
Poznañ;Mazowiecka;26;60-623;Poznañ;004;18;2.00;1;0;0.00;1.00
Poznañ;Mazowiecka;6;60-617;Poznañ;004;98;5.00;13;0;0.00;13.00
Poznañ;Mazowiecka;20;60-617;Poznañ;004;48;3.00;7;0;0.00;7.00
Poznañ;Koœcielskiego;12;60-573;Poznañ;004;42;3.00;1;5;3.92;4.92
Poznañ;Gerberowa;30;60-175;Poznañ;004;21;2.00;4;0;0.00;4.00
Poznañ;Piwna;1a;61-065;Poznañ;004;34;2.00;3;0;0.00;3.00
Poznañ;Palucha;15;60-409;Poznañ;004;34;3.00;4;1;0.50;4.50
Poznañ;M.Pawlikowskiej-Jasnorzewskiej;12a;60-461;Poznañ;004;32;3.00;7;0;0.00;7.00
Poznañ;Dziurawcowa;11;61-680;Poznañ;004;9;1.00;0;1;0.63;0.63
Poznañ;BliŸni¹t;12/2;61-244;Poznañ;004;22;1.00;2;1;0.50;2.50
Poznañ;D¹browskiego;172;60-594;Poznañ;004;16;1.00;1;0;0.00;1.00
Poznañ;Maków Polnych;2/2a;61-606;Poznañ;004;54;3.00;10;1;0.25;10.25
Poznañ;Jeleniogórska;7;60-179;Poznañ;004;16;2.00;5;0;0.00;5.00
Poznañ;REJTANA;8;60-653;POZNAÑ;004;42;3.00;3;2;0.63;3.63
Poznañ;S³oneczna;19;60-258;Poznañ - Grunwald;004;27;2.00;5;0;0.00;5.00
Poznañ;Leszka;25A;61-062;Poznañ;004;19;2.00;4;0;0.00;4.00
Poznañ;Oœ. Jana III Sobieskiego;116;60-688;Poznañ;004;75;3.00;8;1;0.40;8.40
Poznañ;Rzepiñska;19;60-176;Poznañ;004;23;1.00;1;0;0.00;1.00
Poznañ;Os.Pod Lipami;17;61-638;Poznañ;004;26;2.00;3;2;0.72;3.72
Poznañ;os. Strare ¯egrze;55;61-249;Poznañ Nowe Miasto;004;24;3.00;4;0;0.00;4.00
Poznañ;Kaliowa;39;60-175;Poznañ;004;50;4.00;6;1;0.75;6.75
Poznañ;Plac Wiktora Degi;9;61-606;Poznañ;004;110;8.00;9;0;0.00;9.00
Poznañ;Sowice29;29;61-306;Poznañ;004;34;1.00;4;0;0.00;4.00
