,populacja_razem,populacja_lokale,populacja_k_razem,populacja_m_razem,populacja_00_04,populacja_05_09,populacja_10_14,populacja_15_19,populacja_20_24,populacja_25_29,populacja_30_34,populacja_35_39,populacja_40_44,populacja_45_49,populacja_50_54,populacja_55_59,populacja_60_64,populacja_65_69,populacja_70_74,populacja_75_99,msw_2012_lokale,msw_2013_lokale,msw_2014_lokale,msw_2015_lokale,msw_2016_lokale,msw_2012_popul_razem,msw_2013_popul_razem,msw_2014_popul_razem,msw_2015_popul_razem,msw_2016_popul_razem,budynki_all,budynki_mieszkalne,geometry,war
16617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.89871486353605 50.12163555760883, 19.89524569671135 50.12193816055384, 19.89571091197434 50.12416240161365, 19.89918023682195 50.12385978241623, 19.89871486353605 50.12163555760883))",True
16618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.89824954451445 50.11941132864894, 19.89478053569504 50.11971391534355, 19.89524569671135 50.12193816055384, 19.89871486353605 50.12163555760883, 19.89824954451445 50.11941132864894))",True
16619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.89478053569504 50.11971391534355, 19.89131148661753 50.12001639668703, 19.89177648962143 50.12224065814233, 19.89524569671135 50.12193816055384, 19.89478053569504 50.11971391534355))",True
16620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.89524569671135 50.12193816055384, 19.89177648962143 50.12224065814233, 19.89224154685435 50.12446491544905, 19.89571091197434 50.12416240161365, 19.89524569671135 50.12193816055384))",True
16621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.89524569671135 50.12193816055384, 19.89177648962143 50.12224065814233, 19.89224154685435 50.12446491544905, 19.89571091197434 50.12416240161365, 19.89524569671135 50.12193816055384))",True
16622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.89524569671135 50.12193816055384, 19.89177648962143 50.12224065814233, 19.89224154685435 50.12446491544905, 19.89571091197434 50.12416240161365, 19.89524569671135 50.12193816055384))",True
16623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.89524569671135 50.12193816055384, 19.89177648962143 50.12224065814233, 19.89224154685435 50.12446491544905, 19.89571091197434 50.12416240161365, 19.89524569671135 50.12193816055384))",True
16636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.91119343797623 50.11375158810763, 19.90772490622024 50.11405456364894, 19.90819059060745 50.11627875214292, 19.91165928030495 50.11597576033344, 19.91119343797623 50.11375158810763))",True
16637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.91119343797623 50.11375158810763, 19.90772490622024 50.11405456364894, 19.90819059060745 50.11627875214292, 19.91165928030495 50.11597576033344, 19.91119343797623 50.11375158810763))",True
16638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.91119343797623 50.11375158810763, 19.90772490622024 50.11405456364894, 19.90819059060745 50.11627875214292, 19.91165928030495 50.11597576033344, 19.91119343797623 50.11375158810763))",True
16639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.91119343797623 50.11375158810763, 19.90772490622024 50.11405456364894, 19.90819059060745 50.11627875214292, 19.91165928030495 50.11597576033344, 19.91119343797623 50.11375158810763))",True
16640,19,4,10,9,0,2,1,0,3,2,3,1,1,1,1,0,2,1,1,0,4,4,4,4,4,19,19,19,19,19,7,5,"POLYGON ((19.90772490622024 50.11405456364894, 19.90425633416814 50.11435743385783, 19.90472186060674 50.11658163861453, 19.90819059060745 50.11627875214292, 19.90772490622024 50.11405456364894))",True
16641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.90819059060745 50.11627875214292, 19.90472186060674 50.11658163861453, 19.90518744132695 50.11880583921413, 19.90865632929385 50.11850293647782, 19.90819059060745 50.11627875214292))",True
16642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.90819059060745 50.11627875214292, 19.90472186060674 50.11658163861453, 19.90518744132695 50.11880583921413, 19.90865632929385 50.11850293647782, 19.90819059060745 50.11627875214292))",True
16643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.90819059060745 50.11627875214292, 19.90472186060674 50.11658163861453, 19.90518744132695 50.11880583921413, 19.90865632929385 50.11850293647782, 19.90819059060745 50.11627875214292))",True
16644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.90819059060745 50.11627875214292, 19.90472186060674 50.11658163861453, 19.90518744132695 50.11880583921413, 19.90865632929385 50.11850293647782, 19.90819059060745 50.11627875214292))",True
16663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.93200378156606 50.111931522988, 19.92853549185994 50.11223513048281, 19.92900212378894 50.11445922128682, 19.93247057139375 50.11415559749143, 19.93200378156606 50.111931522988))",True
16664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.93200378156606 50.111931522988, 19.92853549185994 50.11223513048281, 19.92900212378894 50.11445922128682, 19.93247057139375 50.11415559749143, 19.93200378156606 50.111931522988))",True
16665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.93200378156606 50.111931522988, 19.92853549185994 50.11223513048281, 19.92900212378894 50.11445922128682, 19.93247057139375 50.11415559749143, 19.93200378156606 50.111931522988))",True
16666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.93200378156606 50.111931522988, 19.92853549185994 50.11223513048281, 19.92900212378894 50.11445922128682, 19.93247057139375 50.11415559749143, 19.93200378156606 50.111931522988))",True
16686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.94727896392954 50.11738805504253, 19.94381036218745 50.11769213277242, 19.94427778912276 50.11991614580742, 19.94774654878784 50.1196120517494, 19.94727896392954 50.11738805504253))",True
16687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.94727896392954 50.11738805504253, 19.94381036218745 50.11769213277242, 19.94427778912276 50.11991614580742, 19.94774654878784 50.1196120517494, 19.94727896392954 50.11738805504253))",True
