,﻿Miejscowość,Ulica,Nr domu,"Uczniowie, wychow., słuchacze",etaty,simiecowki,etaty smieciowki,suma ataty,y,x
244,Kraków,WIELICKA,28,2,1,0,0.0,1.0,52.408638,16.935199
245,Kraków,WYSŁOUCHÓW,30C,12,2,1,0.03,2.0,52.408333,16.933889
246,Kraków,Wadowicka 6,6,53,0,3,2.4,2.4,52.408333,16.933889
247,Kraków,WaleregoEliasza Radzikowskiego,47c,33,4,4,0.9,4.9,52.408333,16.933889
248,Kraków,Warszawska,6,105,13,1,0.13,13.1,52.408333,16.933889
249,Kraków,Wenecja,6,9,0,1,0.75,0.8,52.408333,16.933889
250,Kraków,Wicherkiewicza,19/3-4,38,5,1,0.13,5.1,52.455898,16.891762
251,Kraków,Wichrowa,7,37,1,0,0.0,1.0,52.428968,16.808020
252,Kraków,Widok,23,118,11,4,0.33,11.3,52.408333,16.933889
253,Kraków,Wielicka,265,65,0,0,0.0,0.0,52.408333,16.933889
254,Kraków,Wielicka,76B,70,5,2,0.98,6.0,52.408333,16.933889
255,Kraków,Wieniawskiego,66 lok.1,531,29,0,0.0,29.0,52.408333,16.933889
256,Kraków,Wincentego Danka,8,58,0,7,0.21,0.2,52.408333,16.933889
257,Kraków,Wodna,4,11,4,1,0.05,4.1,52.408333,16.933889
258,Kraków,Wrocławska,75,12,4,2,1.26,5.3,52.408333,16.933889
259,Kraków,Wrocławska,8/1,22,3,0,0.0,3.0,52.406727,16.932965
260,Kraków,Wspólna,46,68,9,1,0.25,9.3,52.408333,16.933889
261,Kraków,Wysłouchów,4,262,33,1,0.88,33.9,52.408333,16.933889
262,Kraków,ZAKĄTEK,2,12,0,0,0.0,0.0,52.404890,16.891600
263,Kraków,Za Targiem,4,150,14,5,0.93,14.9,52.408333,16.933889
264,Kraków,Zaborze,1,10,1,0,0.0,1.0,52.408333,16.933889
265,Kraków,Zachodnia,6a,270,24,2,0.98,25.0,52.400138,16.909338
266,Kraków,Zagaje,47,221,23,0,0.0,23.0,52.408333,16.933889
267,Kraków,Zagościniec,1,157,13,4,1.23,14.2,52.408333,16.933889
268,Kraków,Zamiejska,2,46,4,0,0.0,4.0,52.363425,16.862545
269,Kraków,Zamojskiego,39,24,2,1,0.75,2.8,52.408333,16.933889
270,Kraków,Zarzecze,23,39,4,3,1.75,5.8,52.408333,16.933889
271,Kraków,Zmartwychwstania Pańskiego,2A,85,5,0,0.0,5.0,52.387627,16.921022
272,Kraków,Zwycięstwa,22,125,9,8,0.78,9.8,52.440247,16.923494
273,Kraków,Zygmuntowska,12A,170,13,9,5.7,18.7,52.467281,16.935856
274,Kraków,al. 29 Listopada,191,66,6,0,0.0,6.0,52.408333,16.933889
275,Kraków,al. Dygasińskiego,25,0,0,0,0.0,0.0,52.408333,16.933889
276,Kraków,al. Grottgera,28,99,9,3,0.51,9.5,52.408333,16.933889
277,Kraków,al. Kasztanowa,76a,40,6,2,0.7,6.7,52.408333,16.933889
278,Kraków,krakowiaków,18,100,7,4,0.93,7.9,52.408333,16.933889
279,Kraków,mjr.Łupaszki,13,45,7,0,0.0,7.0,52.408333,16.933889
280,Kraków,os Przy Arce,4,125,9,7,2.85,11.9,52.408333,16.933889
281,Kraków,os. Albertyńskie,23,124,11,3,0.34,11.3,52.408333,16.933889
282,Kraków,os. Bohaterów Września,15,125,10,5,0.82,10.8,52.371359,16.877943
283,Kraków,os. Bohaterów Września,82,96,13,4,1.8,14.8,52.408333,16.933889
284,Kraków,os. Centrum A,14,58,8,0,0.0,8.0,52.408333,16.933889
285,Kraków,os. Centrum B,11,100,10,3,0.41,10.4,52.408333,16.933889
286,Kraków,os. Dywizjonu 303,22B,194,0,19,3.8,3.8,52.408333,16.933889
287,Kraków,os. Dywizjonu 303,37/1,108,11,0,0.0,11.0,52.408333,16.933889
288,Kraków,os. Dywizjonu 303,49,199,16,3,0.54,16.5,52.408333,16.933889
289,Kraków,os. Jagiellońskie,16,121,11,3,0.75,11.8,52.392727,16.951747
290,Kraków,os. Kazimierzowskie,30,79,2,5,3.21,5.2,52.408333,16.933889
291,Kraków,os. Kolorowe,28,169,14,2,0.49,14.5,52.408333,16.933889
292,Kraków,os. Na Lotnisku,15,120,10,4,1.04,11.0,52.408333,16.933889
293,Kraków,os. Na Skarpie,46,120,12,4,0.37,12.4,52.408333,16.933889
294,Kraków,os. Na Stoku,21,125,10,4,1.72,11.7,52.422208,16.945724
295,Kraków,os. Oświecenia,30,118,0,0,0.0,0.0,52.391018,16.957623
296,Kraków,os. Piastów,21 B,51,6,0,0.0,6.0,52.408333,16.933889
297,Kraków,os. Piastów,23 A,36,3,1,0.5,3.5,52.408333,16.933889
298,Kraków,os. Stalowe,10,98,8,4,1.16,9.2,52.408333,16.933889
299,Kraków,os. Szkolne,37,15,3,0,0.0,3.0,52.408333,16.933889
300,Kraków,os. Tysiąclecia,12,145,13,2,0.39,13.4,52.393843,16.973824
301,Kraków,os. UROCZE,15,45,25,11,3.51,28.5,52.408333,16.933889
302,Kraków,os. Urocze,9,85,11,4,0.69,11.7,52.408333,16.933889
303,Kraków,os. Wandy,2,100,6,8,2.24,8.2,52.408333,16.933889
304,Kraków,os. Zielone,27,100,6,6,1.7,7.7,52.408333,16.933889
305,Kraków,os.Dywizjonu 303,12,171,23,5,1.92,24.9,52.408333,16.933889
306,Kraków,os.Dywizjonu 303,21C/LU81,50,4,0,0.0,4.0,52.408333,16.933889
